Population Over Time,Occupied Land Capacity,All Land Capacity,Food Storage Over Time,Average Household Fertility,Average Age Over Time,Average Life Span Over Time,Accumulated Population,Gini Coefficients,Eigenvalue
334,96.28034457158078,96.28034457158078,17187.154324350504,1.3419727906702825,28.520958083832337,54.0,2187,0.5045972221340131,
334,95.79681046509505,95.79681046509505,17657.32445420531,1.343476726887532,29.520958083832337,54.0,2187,0.5026235943879246,
325,95.80950420396374,95.80950420396374,16374.451737517009,1.3076775882252325,29.981538461538463,50.0,2187,0.5270279657564623,
314,97.4857608205203,97.4857608205203,16250.279327843375,1.4154601568832461,30.280254777070063,51.0,2187,0.5176379889151644,
298,100.24713928255548,100.24713928255548,16723.30665935586,1.5284786651001145,30.16778523489933,52.0,2187,0.4911233554463488,
282,105.44770962022662,105.44770962022662,17081.421869854334,1.5371130622993265,29.929078014184398,53.0,2187,0.5125064331930899,
273,112.29154004894295,112.29154004894295,17145.277410026792,1.510427004183657,30.168498168498168,54.0,2187,0.49389556984524424,
267,119.48849518212032,119.48849518212032,16839.788780887735,1.5322242174157237,30.632958801498127,55.0,2187,0.5263986682431699,
267,126.18585926960696,126.18585926960696,18728.54018717065,1.501436614061664,31.632958801498127,55.0,2187,0.48827643841290885,
267,132.36228663404034,132.36228663404034,20439.80062194804,1.471979079898045,32.63295880149813,55.0,2187,0.47317662029838353,
267,137.8119228562333,137.8119228562333,20073.775455120212,1.3897501582039116,33.63295880149813,55.0,2187,0.46802282806958434,
267,142.56431589732162,142.56431589732162,18914.295416444445,1.3630395339269186,34.63295880149813,55.0,2187,0.4513334493282921,
267,146.7074094202177,146.7074094202177,19879.128196540107,1.3652973449254222,35.63295880149813,55.0,2187,0.45934246840083826,
266,150.33288722059999,150.33288722059999,19777.727376418705,1.3338001557258459,36.58270676691729,50.0,2187,0.4521084831764565,
259,153.72167174972122,153.72167174972122,19940.778148242473,1.2876175712524094,37.23552123552123,50.42857142857143,2187,0.46861487463555673,
250,157.89236662966556,157.89236662966556,20253.845895804618,1.2871094602421451,37.748,51.77777777777778,2187,0.47169701932268343,
234,156.71915843344522,162.92620108913445,18460.873165355293,1.3117137460094523,37.86752136752137,51.625,2187,0.4780925848393569,
220,165.51047094206083,169.86758215293514,19931.891683944315,1.3196034274288493,38.054545454545455,51.642857142857146,2187,0.5033887434220632,
202,166.88581122692148,175.94209410572464,19949.95394143889,1.3696806183676373,37.95544554455446,51.388888888888886,2187,0.5163987832288656,
186,169.76705310899692,183.1466108875191,19487.015239102657,1.3755927369442522,37.76881720430107,52.75,2187,0.5060209165948896,
205,182.57072059358393,189.8603812949067,18002.828490506854,1.258430790549237,30.33170731707317,52.26315789473684,2225,0.5387522482301644,
231,182.33318049822086,188.71719927565488,17732.325002640082,1.027872718497079,26.64069264069264,53.8,2256,0.5159894946034659,
249,177.07960413057887,181.98515901316082,16936.560329187265,0.8595285870667417,24.76305220883534,54.75,2278,0.5578562232478022,
258,165.44241258604433,172.2495097012179,14873.969547365648,0.7452683881899977,24.25581395348837,52.333333333333336,2290,0.5803960892453466,
260,162.59717784427534,164.22072558314525,14332.772945792061,0.6479776480776761,24.642307692307693,54.5,2294,0.5956922031805749,
255,155.3980456320768,157.5728869387806,13138.824078339812,0.666262914530226,25.12549019607843,52.0,2294,0.5945114292083974,
249,151.85909197739215,154.56868804489486,12495.322049239769,0.5813692270409848,25.48995983935743,52.5,2294,0.6043504916780557,
243,150.9969988895177,154.2253070749953,12062.271487921469,0.5400462632610249,25.88477366255144,51.0,2294,0.6265878207584821,
247,155.92910218741352,155.92910218741352,11111.41731056211,0.45838976898720135,25.417004048582996,51.0,2303,0.6564626455254233,
240,156.81072820853737,156.81072820853737,10749.305917974318,0.40952547835865155,25.6875,51.42857142857143,2303,0.6654779046357893,
228,153.77897564469723,159.29806220925286,9227.058740044273,0.4242455897729299,25.37280701754386,51.666666666666664,2303,0.7248726868993206,
222,155.1387980094966,163.00534950078446,9761.693688474743,0.37163046641994807,25.684684684684683,51.833333333333336,2303,0.685098964003846,
210,158.0703398282008,164.7121919310901,10801.449247625404,0.35234654701215185,25.185714285714287,52.916666666666664,2303,0.6367059883937072,
201,163.07180983609993,168.33181053535202,14039.334005987463,0.30609873080271377,24.99004975124378,52.888888888888886,2303,0.5497456007200686,
195,158.15880711061754,173.4199270807523,15067.366793564373,0.5684704098341276,25.17948717948718,52.333333333333336,2303,0.5239023274031617,
216,169.66976351732168,181.3235145456941,15739.54485611317,0.7073268956165529,21.935185185185187,52.42857142857143,2331,0.5341529318379394,
234,175.41921665599236,180.8981003130144,18590.148711572765,0.7691862274981109,20.504273504273506,52.0,2352,0.5208252378284489,
238,167.65715051072291,175.5179162529159,18440.288869830805,0.7753636376872969,19.369747899159663,52.75,2364,0.5221080564771872,
233,164.23496498120988,170.70287775328583,17213.84526107108,0.7782039103899638,19.888412017167383,42.8,2364,0.5704698592677546,
235,159.02623319908372,168.25915579585723,16657.626505470227,0.9664223789463321,19.795744680851065,43.0,2371,0.5401269647199958,
243,162.98158059323592,167.03749248090884,13139.5321577812,1.0961928402109615,19.271604938271604,51.0,2383,0.5002858919354418,
238,158.3637686185878,163.49800314963053,15405.970551135839,1.1661019419660077,19.605042016806724,52.0,2383,0.48370733737923194,
240,160.81979347685626,163.32533701158994,15938.178901313786,1.2000534424533698,18.8875,53.0,2392,0.5028609794468083,
237,160.45910695538157,163.48948418407323,16192.899699252932,1.2671028168670933,19.48945147679325,51.333333333333336,2392,0.5151754276151578,
242,156.59648766362065,165.00468574481235,14401.136646645082,1.2242324619334717,19.40082644628099,53.666666666666664,2400,0.5567450555924454,
235,149.3230844793933,164.83023125477203,12616.521462248336,1.2852538952525183,19.47659574468085,51.42857142857143,2400,0.5744727535171863,
237,154.74116960423083,163.019109182555,10636.225821462966,1.2775935107675387,18.514767932489452,53.0,2410,0.5587568043162623,
232,155.31310611180652,161.6153384381872,14140.479273202485,1.361607779024247,18.823275862068964,51.6,2410,0.4924621839409486,
229,154.61532013783878,162.52848549442803,17790.643619004142,1.398001881998944,19.41484716157205,51.0,2410,0.4419828138525656,
256,160.0156544646319,165.82423648698565,18420.511187119602,1.324104921023047,18.05859375,52.0,2438,0.4810961233801608,
272,155.38207335347857,162.9629670987596,17815.49404510392,1.2671871988119636,17.547794117647058,53.0,2456,0.4947265142990644,
280,155.0860337271548,156.2844499289437,19333.446237494438,1.239884572384973,17.24642857142857,54.0,2468,0.5002947074102506,
